name,lat,lon,URL,surface,capacity
Mercedes-Benz Superdome,29.95083,-90.08111,https://en.wikipedia.org/wiki/Mercedes-Benz_Superdome,"SurfaceMonsanto ""Mardi Grass"" turf (1975–2003); FieldTurf (2004–2006); Sportexe Momentum Turf (2006–2009); UBU Speed Series S5 (2010–2016) ; Act Global UBU Speed S5-M Synthetic Turf (2017–2018); Turf Nation S5 (2019–present)","CapacityAmerican football: 73,208 (expandable to 76,468); Basketball: 73,432; Baseball: 56,941"
Hard Rock Stadium,25.95806,-80.23889,https://en.wikipedia.org/wiki/Hard_Rock_Stadium,SurfaceTifway 419 Bermuda Grass,"CapacityFootball: 64,767; Tennis: 14,000; Original: 75,000"
Rose Bowl (stadium),34.161,-118.168,https://en.wikipedia.org/wiki/Rose_Bowl_(stadium),SurfaceGrass,"Capacity92,542"
SDCCU Stadium,32.78306,-117.11944,https://en.wikipedia.org/wiki/SDCCU_Stadium,SurfaceBandera Bermuda Grass,"Capacity70,561 (Football, Chargers); 67,544 (Baseball); 54,000 (Football, Aztecs)"
Raymond James Stadium,27.97583,-82.50333,https://en.wikipedia.org/wiki/Raymond_James_Stadium,SurfaceTifway 419 Bermuda,"Capacity
65,618 (2016–present) (expandable to 75,000)
65,890 (2013–2015)
65,856 (2008–2012)
65,657 (2001–2007)
66,321 (1998–2000)
"
State Farm Stadium,33.528,-112.263,https://en.wikipedia.org/wiki/State_Farm_Stadium,SurfaceNatural grass:; Tifway 419 Hybrid Bermuda,"Capacity63,400 (expandable to 72,200;; standing room to 78,600)"
Georgia Dome,33.758,-84.401,https://en.wikipedia.org/wiki/Georgia_Dome,SurfaceFieldTurf (2003–2017); AstroTurf (1992–2002),"CapacityFootball: 71,228; Georgia State football: 28,155; Basketball: 71,000; Total Capacity: 80,000"
NRG Stadium,29.68472,-95.41083,https://en.wikipedia.org/wiki/NRG_Stadium,SurfaceHellas Matrix Helix,"Capacity72,220 (2018–present); 71,795 (2014–2017); 71,054 (2003–2013); 69,500 (2002); Expandable to 80,000 for special events"
Hubert H. Humphrey Metrodome,44.97389,-93.25806,https://en.wikipedia.org/wiki/Hubert_H._Humphrey_Metrodome,SurfaceSuperTurf (1982–1986) ; AstroTurf (1987–2003) ; FieldTurf (2004–2010) ; Sportexe Momentum Turf (2010);  UBU-Intensity Series-S5-M Synthetic Turf (2011–2013),"CapacityAmerican football: 64,121; Baseball: 46,564 (expandable to 55,883); Basketball: 50,000; Concerts: 60,000"
Sun Devil Stadium,33.42639,-111.93250,https://en.wikipedia.org/wiki/Sun_Devil_Stadium,SurfaceBermuda Grass,"Capacity53,599 (2018–present)"
TIAA Bank Field,30.32389,-81.63750,https://en.wikipedia.org/wiki/TIAA_Bank_Field,SurfaceTifway 419 Bermuda Grass,"Capacity67,814 (expandable to 82,000)"
Ford Field,42.34000,-83.04556,https://en.wikipedia.org/wiki/Ford_Field,SurfaceFieldTurf,"CapacityFootball: 65,000 (expandable to 70,000); Basketball: 78,000"
AT&T Stadium,32.74778,-97.09278,https://en.wikipedia.org/wiki/AT%26T_Stadium,SurfaceHellas Matrix Turf with Helix Soft Top artificial turf,"CapacityAmerican football: 80,000 (expandable to 105,000)"
Lucas Oil Stadium,39.760056,-86.163806,https://en.wikipedia.org/wiki/Lucas_Oil_Stadium,SurfaceFieldTurf (2008–2018); Shaw Sports Momentum Pro (2018–present),"CapacityAmerican football: 67,000 (expandable to 70,000); Basketball: 70,000 (approx)"
MetLife Stadium,40.813528,-74.074361,https://en.wikipedia.org/wiki/MetLife_Stadium,"SurfaceAct Global Speed S5 through 2019 
Fieldturf installed 2020","Capacity82,500"
Levi's Stadium,37.403,-121.970,https://en.wikipedia.org/wiki/Levi%27s_Stadium,SurfaceTifway II Bermuda Grass,"Capacity68,500 (expandable to 75,000)"
U.S. Bank Stadium,44.974,-93.258,https://en.wikipedia.org/wiki/U.S._Bank_Stadium,"SurfaceAct Global Artificial Turf, FIFA Certified UBU Speed Series S5","Capacity66,655 (Football; 2016–2017); 66,860 (Football; 2018–present) (expandable to 73,000)"
Mercedes-Benz Stadium,33.75556,-84.40000,https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium,SurfaceFieldTurf CORE,"CapacityAmerican Football: 71,000 ; (Expandable to 75,000); Soccer: 42,500; (Expandable to 71,000, standing room to at least 73,019)"
SoFi Stadium,33.95345,-118.3392,https://en.wikipedia.org/wiki/SoFi_Stadium,SurfaceMatrix Turf,"Capacity70,240 (expandable up to 100,240 for Super Bowl, WrestleMania, FIFA World Cup, Summer Olympics, and other major events)"
